,Name,LifeSat,CountryCode,Region,HDI,LE,EYS,MYS,GNI
91,Niger,4.028,NER,Sub-Saharan Africa,0.376591083,62.024,6.47145,2.029048967,912.0418982
92,Nigeria,5.074,NGA,Sub-Saharan Africa,0.534136286,54.332,9.746414,6.4619,5085.540258
93,Macedonia,5.175,MKD,Europe & Central Asia,0.759422336,75.688,13.4639834,9.680116533,12873.75376
94,Norway,7.537,NOR,Europe & Central Asia,0.953688337,82.271,18.06082,12.56681764,68058.61613
95,Pakistan,5.269,PAK,South Asia,0.560446359,67.114,8.46498,5.158944258,5190.07941
96,Panama,6.452,PAN,Latin America & Caribbean,0.795054699,78.329,12.88063,10.17,20454.87351
97,Paraguay,5.493,PRY,Latin America & Caribbean,0.724347662,74.131,12.68985207,8.450439127,11719.95898
98,Peru,5.715,PER,Latin America & Caribbean,0.759103574,76.516,13.8474129,9.215395842,12322.65681
99,Philippines,5.43,PHL,East Asia & Pacific,0.711860207,71.095,12.72245333,9.393091398,9539.697881
100,Poland,5.973,POL,Europe & Central Asia,0.871767868,78.544,16.4332,12.29398111,27625.79535
101,Portugal,5.195,PRT,Europe & Central Asia,0.850211619,81.857,16.29655,9.190958665,27935.3848
102,Qatar,6.375,QAT,Middle East & North Africa,0.848440767,80.1,12.17887,9.66734,110488.7358
103,Romania,5.825,ROU,Europe & Central Asia,0.815569656,75.924,14.26345,10.97836,23905.77107
104,Russia,5.963,RUS,Europe & Central Asia,0.82403789,72.386,15.53573,12.01999,25036.02024
105,Rwanda,3.471,RWA,Sub-Saharan Africa,0.53601472,68.7,11.16659,4.417150539,1958.611877
106,Saudi Arabia,6.344,SAU,Middle East & North Africa,0.856962813,74.998,16.9791,9.67145098,49338.40957
107,Senegal,4.535,SEN,Sub-Saharan Africa,0.513769573,67.665,8.97107,3.068934,3255.987639
108,Serbia,5.395,SRB,Europe & Central Asia,0.799259785,75.849,14.76615,11.18071012,15217.69707
109,Sierra Leone,4.709,SLE,Sub-Saharan Africa,0.438465282,54.309,10.17593,3.6,1381.299109
110,Singapore,6.572,SGP,East Asia & Pacific,0.934818974,83.458,16.32817,11.49649,83792.67432
111,Slovenia,5.758,SVN,Europe & Central Asia,0.901601081,81.172,17.42218,12.27337909,32143.04239
112,South Africa,4.829,ZAF,Sub-Saharan Africa,0.704937483,63.857,13.66788,10.24064634,11756.29842
